slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
16363180,259,29956328,0.9985442666666666,,0xbd3Afb0bB76683eCb4225F9DBc91f998713C3b01,259,100,1071555909.918919,277532980669,94755859141
16363540,339,15739229,0.5246409666666667,,0xBaF6dC2E647aeb6F510f9e318856A1BCd66C5e19,339,100,775544973.6755162,262909746076,23005870277
16363900,424,23515385,0.7838461666666666,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,424,100,660686647.6367924,280131138598,26003541931
16364260,141,13276591,0.44255303333333335,,0x388C818CA8B9251b393131C08a736A67ccB19297,141,100,6047835246.014184,852744769688,192949911129
16364620,179,14010501,0.4670167,,0xAAB27b150451726EC7738aa1d0A94505c8729bd1,179,100,4157021883.2681565,744106917105,309277369882
16364980,121,12473539,0.4157846333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,121,100,20101176265.272728,2432242328098,1871679786494
16365340,14,1048230,0.034941,,0xe10332741c59CED2BA96db514a9eD865dDF99b6a,14,100,1190895246.5,16672533451,2001000000
16365700,119,17815838,0.5938612666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,119,100,1635042911.5210085,194570106471,21566756589
16366060,145,15177644,0.5059214666666667,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,145,100,2263923523.413793,328268910895,22000000000
16366420,124,10876535,0.36255116666666665,,0xBaF6dC2E647aeb6F510f9e318856A1BCd66C5e19,124,100,1715483646.314516,212719972143,22994892843
16366780,181,17928095,0.5976031666666667,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,181,100,2136781506.635359,386757452701,40000000000
16367140,109,9172483,0.3057494333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,109,100,1807529535.9633029,197020719420,23495811808
16367500,119,13490455,0.44968183333333334,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,119,100,2082232945.4285715,247785720506,18686833693
16367860,124,9069971,0.3023323666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,124,100,2552782334.290323,316545009452,50500000000
16368220,100,6294498,0.2098166,,0xaF2f1bc76da293F5f4b4cA31E47B79Bf91F80F02,100,100,2190040004.95,219004000495,69000000000
16368580,103,11779921,0.39266403333333333,,0xbd3Afb0bB76683eCb4225F9DBc91f998713C3b01,103,100,2025068552.6699028,208582060925,32970663317
16368940,153,23375750,0.7791916666666666,,0x199D5ED7F45F4eE35960cF22EAde2076e95B253F,153,100,1564852267.124183,239422396870,17394473396
16369300,112,20248277,0.6749425666666666,,0x3b7fAEc3181114A99c243608BC822c5436441FfF,112,100,2159524079.107143,241866696860,50000000000
16369660,269,27171220,0.9057073333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,269,100,1999443723.732342,537850361684,44748674429
16370020,156,13541943,0.4513981,,0x388C818CA8B9251b393131C08a736A67ccB19297,156,100,2173765349.6474357,339107394545,29772351970
16370380,161,15759316,0.5253105333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,161,100,3502055962.614907,563831009981,119731300864
16370740,172,17021709,0.5673903,,0x8D5998A27b3CdF33479B65B18F075E20a7aa05b9,172,100,3481316069,598786363868,41222582138
16371100,161,14279438,0.4759812666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,161,100,6814461082.695652,1097128234314,355434011700
16371460,94,8216082,0.2738694,,0xF0bAfD58E23726785A1681e1DEa0da15cB038C61,94,100,3251364620,305628274280,35001022695
16371820,221,13718842,0.4572947333333333,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,221,100,1534308068.597285,339082083160,48438028418
16372180,87,16206733,0.5402244333333334,,0xeBec795c9c8bBD61FFc14A6662944748F299cAcf,87,100,3388895009.0689654,294833865789,55856694563
16372540,117,9756369,0.3252123,,0xbd3Afb0bB76683eCb4225F9DBc91f998713C3b01,117,100,6531645665.290598,764202542839,421395475095
16372900,142,13738301,0.4579433666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,142,100,9855035271.52817,1399415008557,1023783815713
16373260,110,12273796,0.4091265333333333,,0x199D5ED7F45F4eE35960cF22EAde2076e95B253F,110,100,2075193356.081818,228271269169,23196000000
16373620,85,7478812,0.24929373333333332,,0xe7423d835402C90C34583C6b0FA00DE0926566F7,85,100,4351186732.658824,369850872276,47835979341
